"idobservation","nomedevice","tempo1","tempo2","tempo3","tempo4","tempo5","timestamp_column"
876685,"images",0.982895,1.551597,0.000030,0.247761,3.108836,"2024-09-26 00:30:29"
890834,"images",0.705485,0.879509,0.000026,0.248547,3.504191,"2024-09-26 03:50:04"
882007,"images",0.983341,1.223815,0.000041,0.269996,2.943730,"2024-09-26 01:44:29"
862590,"images",0.963224,0.997299,0.000031,0.245660,4.360399,"2024-09-25 21:11:23"
880101,"images",0.981244,1.579194,0.000031,0.244675,4.175159,"2024-09-26 01:20:18"
878453,"images",0.963921,1.542509,0.000031,0.243448,4.211171,"2024-09-26 00:54:11"
882042,"images",0.973245,1.229747,0.000031,0.253253,4.313752,"2024-09-26 01:45:38"
879102,"images",0.967336,1.358682,0.000033,0.247385,5.479023,"2024-09-26 01:04:10"
879609,"images",0.991341,1.558189,0.000033,0.245810,3.333565,"2024-09-26 01:11:34"
877649,"images",0.938492,1.285486,0.000033,0.248463,4.288661,"2024-09-26 00:43:04"
850586,"images",1.459153,1.476681,0.000032,0.248431,2.272727,"2024-09-25 18:21:49"
879908,"images",0.954986,1.173037,0.000033,0.247066,4.272869,"2024-09-26 01:15:34"
887589,"images",0.753776,0.886378,0.000027,0.252776,3.204422,"2024-09-26 03:05:06"
886417,"images",1.562460,1.544795,0.000033,0.250573,4.197801,"2024-09-26 02:47:33"
850900,"images",0.960195,1.194363,0.000032,0.243850,4.336375,"2024-09-25 18:27:10"
857338,"images",0.964621,0.874987,0.000032,0.251848,4.193263,"2024-09-25 19:55:30"
865690,"images",0.998935,1.615408,0.000031,0.241814,4.334431,"2024-09-25 21:54:43"
861467,"images",0.941130,1.297202,0.000030,0.249476,3.624094,"2024-09-25 20:53:35"
881108,"images",0.984861,1.239258,0.000030,0.254079,2.750549,"2024-09-26 01:30:40"
864704,"images",0.982883,1.316985,0.000033,0.245361,4.185386,"2024-09-25 21:42:32"
863298,"images",0.972590,1.506339,0.000032,0.244751,3.056564,"2024-09-25 21:21:59"
853080,"images",0.956542,0.759579,0.000032,0.248665,2.559747,"2024-09-25 18:58:17"
858766,"images",0.994021,1.330596,0.000033,0.261966,4.037220,"2024-09-25 20:16:44"
887315,"images",0.771921,1.549621,0.000028,0.243642,2.470183,"2024-09-26 03:00:17"
858835,"images",1.009984,1.498390,0.000030,0.249501,2.536139,"2024-09-25 20:17:32"
860601,"images",0.985743,1.364052,0.000029,0.247404,3.995860,"2024-09-25 20:44:49"
885234,"images",0.941695,0.883867,0.000031,0.254760,3.117157,"2024-09-26 02:29:38"
874709,"images",0.939858,1.414081,0.000033,0.245941,3.228566,"2024-09-26 00:01:45"
881727,"images",0.955276,1.340275,0.000033,0.375815,4.207472,"2024-09-26 01:40:39"
862058,"images",0.940918,1.236135,0.000030,0.367549,2.498537,"2024-09-25 21:02:56"
877128,"images",0.922296,1.622085,0.000032,0.244441,4.320234,"2024-09-26 00:34:53"
885294,"images",0.991947,1.457503,0.000031,0.241823,4.289119,"2024-09-26 02:31:04"
870735,"images",0.964717,1.682436,0.000034,0.242960,3.779285,"2024-09-25 23:06:14"
891423,"images",0.750668,1.332714,0.000027,0.241773,3.092037,"2024-09-26 03:58:57"
864881,"images",0.949407,0.890048,0.000033,0.247453,2.351822,"2024-09-25 21:44:35"
871763,"images",0.956091,1.456859,0.000031,0.262743,2.461817,"2024-09-25 23:21:11"
886039,"images",0.941336,1.332336,0.000032,0.246029,4.321306,"2024-09-26 02:42:26"
851376,"images",0.974177,1.178011,0.000032,0.248023,4.216737,"2024-09-25 18:33:56"
877846,"images",0.946336,1.451585,0.000032,0.240993,3.134424,"2024-09-26 00:45:50"
881234,"images",0.938090,1.273277,0.000028,0.246077,3.175089,"2024-09-26 01:32:55"
885188,"images",0.981370,1.625506,0.000032,0.245039,2.779902,"2024-09-26 02:29:01"
867103,"images",0.944993,0.888228,0.000030,0.247207,4.257952,"2024-09-25 22:15:16"
861192,"images",0.973392,1.568248,0.000032,0.248012,2.647495,"2024-09-25 20:49:53"
