"idobservation","nomedevice","tempo1","tempo2","tempo3","timestamp_column","valorteste"
3836561,"Images",0.307172,0.000886,0.031807,"2024-09-26 21:50:08",NULL
3809332,"Images",0.300061,0.000958,0.045846,"2024-09-26 13:24:36",NULL
3814824,"Images",0.500789,0.000563,0.034122,"2024-09-26 15:06:59",NULL
3816281,"Images",0.302037,0.000903,0.038486,"2024-09-26 15:34:14",NULL
3807864,"Images",0.278241,0.000886,0.042494,"2024-09-26 12:57:17",NULL
3807248,"Images",0.260036,0.000901,0.043617,"2024-09-26 12:46:05",NULL
3815312,"Images",0.279032,0.001195,0.038792,"2024-09-26 15:16:08",NULL
3826635,"Images",0.276657,0.000879,0.044847,"2024-09-26 18:45:56",NULL
3822328,"Images",0.262950,0.000906,0.042647,"2024-09-26 17:26:09",NULL
3835095,"Images",0.318129,0.000572,0.025749,"2024-09-26 21:22:56",NULL
3822078,"Images",0.297143,0.000880,0.047036,"2024-09-26 17:21:31",NULL
3820417,"Images",0.476385,0.000883,0.041009,"2024-09-26 16:50:52",NULL
3825392,"Images",0.240257,0.000896,0.037688,"2024-09-26 18:22:58",NULL
3814901,"Images",0.300250,0.000883,0.039527,"2024-09-26 15:08:24",NULL
3834242,"Images",0.305280,0.000908,0.133870,"2024-09-26 21:07:00",NULL
3821681,"Images",0.259182,0.000893,0.042923,"2024-09-26 17:14:11",NULL
3820278,"Images",0.283875,0.000876,0.032677,"2024-09-26 16:48:19",NULL
3830744,"Images",0.277806,0.001026,0.038118,"2024-09-26 20:01:56",NULL
3825376,"Images",0.419278,0.000169,0.029634,"2024-09-26 18:22:40",NULL
3820966,"Images",0.240125,0.000892,0.043270,"2024-09-26 17:00:57",NULL
3828670,"Images",0.316487,0.000896,0.040127,"2024-09-26 19:23:34",NULL
3812424,"Images",0.277915,0.000879,0.042016,"2024-09-26 14:22:15",NULL
3813751,"Images",0.288663,0.000914,0.030749,"2024-09-26 14:46:52",NULL
3820548,"Images",0.300132,0.000942,0.039050,"2024-09-26 16:53:17",NULL
3835846,"Images",0.239703,0.000891,0.043251,"2024-09-26 21:36:55",NULL
3809341,"Images",0.296549,0.000887,0.042287,"2024-09-26 13:24:46",NULL
3825440,"Images",0.278882,0.001293,0.039504,"2024-09-26 18:23:51",NULL
3823452,"Images",0.263782,0.000169,0.028463,"2024-09-26 17:46:59",NULL
3808446,"Images",0.299179,0.000942,0.043123,"2024-09-26 13:08:06",NULL
3820045,"Images",0.258461,0.000167,0.123269,"2024-09-26 16:44:02",NULL
3820729,"Images",0.279220,0.000560,0.035966,"2024-09-26 16:56:37",NULL
3811306,"Images",0.259434,0.000952,0.041661,"2024-09-26 14:01:20",NULL
3815221,"Images",0.315841,0.000886,0.020891,"2024-09-26 15:14:24",NULL
3835793,"Images",0.259983,0.000165,0.023872,"2024-09-26 21:35:56",NULL
3828832,"Images",0.261056,0.000884,0.044519,"2024-09-26 19:26:32",NULL
3816691,"Images",0.277138,0.000933,0.041758,"2024-09-26 15:41:51",NULL
3824161,"Images",0.259242,0.000894,0.044009,"2024-09-26 18:00:10",NULL
3828161,"Images",0.259033,0.000254,0.041471,"2024-09-26 19:14:08",NULL
3810635,"Images",0.318278,0.000888,0.048349,"2024-09-26 13:48:48",NULL
3817655,"Images",0.276957,0.000878,0.049552,"2024-09-26 15:59:43",NULL
3817988,"Images",0.261169,0.016644,0.022275,"2024-09-26 16:05:56",NULL
3827424,"Images",0.276987,0.000888,0.043111,"2024-09-26 19:00:31",NULL
3822864,"Images",0.277136,0.000885,0.042212,"2024-09-26 17:36:02",NULL
3809245,"Images",0.297986,0.000882,0.118805,"2024-09-26 13:23:00",NULL
3824789,"Images",0.282006,0.000879,0.057953,"2024-09-26 18:11:48",NULL
3834948,"Images",0.278231,0.000891,0.044837,"2024-09-26 21:20:10",NULL
3828661,"Images",0.259416,0.000876,0.044590,"2024-09-26 19:23:23",NULL
3828009,"Images",0.304607,0.000890,0.040040,"2024-09-26 19:11:20",NULL
3826550,"Images",0.278201,0.001104,0.037966,"2024-09-26 18:44:22",NULL
3825735,"Images",0.278006,0.000883,0.045392,"2024-09-26 18:29:17",NULL
